title,cgross,studio,theaters2,theaters1,opening_gross,release_data
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",840958,Cinc,0,0,0,11/12/82
Come Blow Your Horn,0,Par.,0,0,0,6/5/63
Come Early Morning,119452,IDP,22,22,50160,11/10/06
Come Out and Play,2638,Cdgm.,10,10,1600,3/22/13
Come See the Paradise,947306,Fox,5,97,110968,12/25/90
Come Undone,326484,Pict.,0,0,0,6/29/01
Come Undone (2010),10035,FM,1,2,2030,12/3/10
Come What May,37766,Cohen,2,6,9738,9/9/16
The Comebacks,13349927,FoxA,2812,2812,5554594,10/19/07
The Comedian,1659002,SPC,2,848,10723,12/9/16
Comedian,2751988,Mira.,4,244,60224,10/11/02
The Comedians,0,MGM,0,0,0,10/31/67
The Comedians of Comedy,549,Vita.,2,2,354,11/11/05
The Comedy,41113,Trib.,1,4,6000,11/9/12
Comedy of Power,80550,Koch,1,2,10061,1/5/07
Comes a Horseman,9585769,MGM,0,0,0,10/25/78
Comet,8623,IFC,2,8,0,12/5/14
Comfort and Joy,1057368,Uni.,0,0,0,10/10/84
The Comfort of Strangers,1244381,Skou,1,17,14537,3/15/91
Comic-Con Episode IV: A Fan's Hope,34665,WHE,3,6,8203,4/6/12
Comin' at Ya!,12000000,Film,0,0,0,Jun-81
Coming Home,32653905,UA,0,0,0,2/15/78
Coming Home (2015),377607,SPC,3,55,26361,9/9/15
Coming Soon,5453,Una.,1,1,3742,5/12/00
Coming Through the Rye,18137,EF,1,5,3761,10/14/16
Coming to America,128152301,Par.,2064,2064,21404420,6/29/88
Coming Up Roses,4299,Skou,0,0,0,9/11/87
Coming Up Roses (2012),0,Da.,0,0,0,11/9/12
Coming Up Roses (2014 re-release),20567,Indic.,2,4,6432,2/14/14
Command and Control,57635,AEF,1,6,5385,9/14/16
Command Decision,0,MGM,0,0,0,12/25/48
Commandments,548561,Gram.,269,269,312437,5/2/97
Commando,35100000,Fox,1495,1504,7700015,10/4/85
Comment Ma Mere Accoucha de Moi Durant,353275,All.,39,41,150000,2/7/03
Commitment,76543,WGUSA,0,22,0,12/6/13
The Commitments,14919570,Fox,8,588,271333,8/16/91
Committed,40361,Mira.,6,13,11452,4/28/00
The Commune,38737,Magn.,7,13,9249,5/19/17
Communion,1919653,NL,240,240,822123,11/10/89
The Commuter,36343858,LGF,2892,2892,13701452,1/12/18
Compadres,3127773,PNT,368,368,1397434,4/22/16
The Company,2283914,SPC,11,55,93776,12/25/03
Company Business,1501785,MGM,232,232,533610,9/6/91
Company Man,146193,ParC,104,104,74743,3/9/01
The Company Men,4441272,Wein.,106,277,647797,1/21/11
The Company of Wolves,4389334,Can.,995,995,2234776,4/19/85
Company Town,4934,FRun,1,1,2150,9/8/17
The Company You Keep,5133027,SPC,5,807,131718,4/5/13
Compared to What? The Improbable Journey of Barney Frank,0,PWP,0,0,0,TBD
The Competition,14287755,Col.,6,0,76163,12/3/80
Complete Unknown,191761,IFC,2,63,14149,8/26/16
Compliance,319285,Magn.,1,21,16427,8/17/12
Compromising Positions,12531831,Par.,570,574,3014756,8/30/85
Computer Chess,102041,KL,2,9,9683,7/17/13
"Comrades, Almost a Love Story",17676,Rim,1,1,8510,2/20/98
Con Air,101117573,BV,2824,2941,24131738,6/6/97
Conan O'Brien Can't Stop,267965,Abr.,24,24,97043,6/24/11
Conan the Barbarian,39565475,Uni.,1395,1683,9603139,5/14/82
Conan the Barbarian (2011),21295021,LGF,3015,3015,10021215,8/19/11
Conan the Destroyer,31042035,Uni.,1117,1249,6958872,6/29/84
Concerning Violence,12680,KL,0,2,0,12/5/14
The Concert,657986,Wein.,2,21,21742,7/30/10
Concert for George,134600,Arna,105,105,67711,10/3/03
Concert for George (2018 re-release),0,Abr.,0,0,0,2/22/18
The Concorde: Airport '79,13015688,Uni.,0,0,0,8/3/79
Concussion,42606,RTWC,2,25,8313,10/4/13
Concussion (2015),34542474,Sony,2841,2841,10513749,12/25/15
The Condemned,7371706,LGF,2310,2310,3807595,4/27/07
The Condemned (2013),3718,Strand,1,1,2511,3/1/13
Condorito: La Pelicula,447719,LGF,153,153,248456,1/12/18
Condorman,0,BV,0,0,0,8/7/81
Coneheads,21274717,Par.,1978,1978,7100501,7/23/93
Confession of a Child of the Century,74,Cohen,1,1,68,9/25/15
Confessions of a Dangerous Mind,16007718,Mira.,4,1776,87199,12/31/02
Confessions of a Shopaholic,44277350,BV,2507,2534,15066360,2/13/09
Confessions of a Teenage Drama Queen,29331068,BV,2503,2503,9350572,2/20/04
Confessionsofa Ex-Doofus-ItchyFooted Mutha,1013,Yeah,1,1,604,8/21/09
Confetti,228498,FoxS,12,151,20560,9/15/06
Confidence,12251640,Lions,1871,1871,4563588,4/25/03
Confidence,0,NYer,0,0,0,3/15/81
Confidential Assignment,475618,CJ,2,13,21228,1/27/17
The Conformist,0,Par.,0,0,0,10/22/70
The Conformist (2014 re-release),58657,KL,0,4,0,8/29/14
Confusion of Genders,49237,Pict.,1,3,7933,7/9/03
Congo,81022101,Par.,2649,2676,24642539,6/9/95
"Congo: White King, Red Rubber, Black Death",6458,Artma,1,1,3238,10/21/05
The Congress,137815,Drft.,15,37,28640,8/29/14
The Congressman,71451,Shad.,3,13,14260,4/29/16
The Conjuring,137400141,WB (NL),2903,3115,41855326,7/19/13
The Conjuring 2,102470008,WB (NL),3343,3356,40406314,6/10/16
Connected,46782,Pala.,3,7,13301,9/16/11
The Connection,190980,Drft.,2,27,10335,5/15/15
Connie and Carla,8085771,Uni.,1014,1016,3254940,4/16/04
The Conqueror,0,RKO,0,0,0,2/21/56
The Conquest,74474,MBox,6,8,16273,11/11/11
Conquest of the Planet of the Apes,9043472,Fox,0,0,0,6/14/72
The Conrad Boys,11001,Newp.,1,1,3243,6/2/06
Consenting Adults,21591728,BV,1513,1538,5023467,10/16/92
Conspiracy of Silence,2598,Watch,1,1,2598,12/3/04
Conspiracy Theory,75982834,WB,2806,2806,19313566,8/8/97
The Conspirator,11538204,RAtt.,707,849,3506602,4/15/11
The Constant Gardener,33579797,Focus,1346,1387,8673803,8/31/05
Constantine,75976178,WB,3006,3006,29769098,2/18/05
Constantine's Sword,179507,FRun,2,6,10131,4/18/08
Constellation,306533,BPic,238,238,215801,2/2/07
Constructing Albert,0,INDEP,0,0,0,7/6/18
Consumed,20476,Gathr,0,3,0,11/10/15
Consuming Passions,118206,Gold.,1,5,5373,4/6/88
Contact,100920329,WB,1923,2314,20584908,7/11/97
Contagion,75658097,WB,3222,3222,22403596,9/9/11
Contemporary Color,15305,Osci.,1,5,1451,3/1/17
Contempt (1997 re-issue),706604,Strand,0,0,0,6/27/97
Contempt (2013 re-release),43763,Rialto,1,2,8322,9/6/13
Contempt (re-issue),153619,Rialto,1,2,14826,3/14/08
The Contender,17872723,DW,1516,1639,5363900,10/13/00
Continental Divide,15578237,Uni.,864,0,3218347,9/18/81
Contraband,66528000,Uni.,2863,2870,24349815,1/13/12
The Contract,0,Mill.,0,0,0,0
Contracted,4105,IFC,3,3,3328,11/22/13
Contre-Enquete,11846,All.,3,3,6182,2/29/08
Control,872252,Wein.,1,29,27674,10/10/07
Control Room,2589616,Magn.,1,74,27125,5/21/04
Controlled Chaos,7549,Rel.,1,1,2152,6/4/03
Controlled Chaos (re-issue),32740,Rel.,1,1,3969,10/19/07
Convention,0,IFC,0,0,0,6/4/10
The Conversation,4420000,Par.,0,0,0,4/7/74
Conversations with God,425045,IDP,64,64,150355,10/27/06
Conversations with Other Women,379418,Fabr.,13,14,66157,8/11/06
Convict Stage,0,Fox,0,0,0,1965
Conviction,6783129,FoxS,11,672,102351,10/15/10
Convicts,13623,MCE,1,1,6347,12/6/91
Convoy,22765081,MGM,0,0,0,6/28/78
Coogan's Bluff,3110000,Uni.,0,0,0,10/2/68
Cook County,17977,Hann.,5,5,7579,12/16/11
"The Cook, The Thief, His Wife and Her Lover",7724701,Mira.,16,239,252223,4/6/90
Cookie,1869417,WB,82,82,292483,8/25/89
Cookie's Fortune,10920544,Oct.,10,559,186828,4/2/99
The Cookout,11814019,Lions,1303,1303,5000900,9/3/04
Cool as Ice,1193062,Uni.,393,393,638625,10/18/91
Cool Hand Luke,0,WB,0,0,0,11/1/67
Cool It,62713,RAtt.,41,43,26847,11/12/10
Cool Runnings,68856263,BV,1387,1832,7046648,10/1/93
Cool World,14110589,Par.,1448,1600,5556451,7/10/92
"A Cool, Dry Place",4390,Fox,2,2,2706,1/29/99
The Cooler,8291572,Lions,11,408,128973,11/26/03
Cooties,60058,LGP,29,29,33031,9/18/15
Cop,1984315,Atl,0,0,0,1987
Cop and a Half,31889691,Uni.,1603,1793,6027285,4/2/93
Cop Car,134552,Focus,3,60,26146,8/7/15
Cop Land,44862187,Mira.,2233,2233,13510482,8/15/97
Cop Out,44875481,WB,3150,3150,18211126,2/26/10
"The Cop, the Criminal and the Clown",3935,LSeal,1,1,3935,4/6/07
Copperhead,171740,FC,59,59,55625,6/28/13
Cops and Robbersons,11391093,TriS,1831,1836,3724254,4/15/94
Copycat,32051917,WB,1390,1661,5170522,10/27/95
Copying Beethoven,384029,MGM,26,29,70460,11/10/06
Coraline,75286229,Focus,2299,2320,16849640,2/6/09
The Core,31186896,Par.,3017,3019,12053131,3/28/03
Coriolanus,757195,Wein.,9,21,61136,1/20/12
Corked!,4254,28E,1,1,4254,6/5/09
Corky Romano,23980304,BV,2062,2094,9023173,10/12/01
Corman's World,7000,Anch.,2,2,7000,12/16/11
CornerStore,45176,STP,1,2,12743,8/12/11
Corpo Celeste,8919,FM,1,1,2263,6/8/12
Corporate Affairs,1006575,Conc,38,57,224847,10/5/90
The Corporation,1879983,Zeit.,2,28,28671,6/4/04
The Corporation (Canada),1613533,Mon,7,16,60797,1/16/04
"Corrina, Corrina",20164171,NL,698,972,3811258,8/12/94
The Corruptor,15164492,NL,1804,1804,5765300,3/12/99
Corvette Summer,15514367,MGM,0,0,0,6/2/78
Cosi,35489,Mira.,0,0,0,4/11/97
Cosmopolis,763556,EOne,3,65,70339,8/17/12
Cosmos,25269,KL,1,2,3807,6/17/16
Cote D'Azur,141039,Strand,11,11,33521,9/9/05
The Cotton Club,25928721,Orion,808,809,2903603,12/14/84
Cotton Mary,299432,AL,4,4,24680,3/15/00
The Couch Trip,11005304,Lori,1332,1332,3351891,1/15/88
The Counselor,16973715,Fox,3044,3044,7842930,10/25/13
The Count of Monte Cristo,54234062,BV,2007,2211,11376150,1/25/02
Countdown to Zero,272040,Magn.,3,28,41307,7/23/10
The Counterfeiters,5488570,SPC,8,170,87514,2/22/08
Counting,8374,CGld,1,1,4904,7/31/15
Country,9640000,BV,1,488,24443,9/28/84
The Country Bears,16990825,BV,2553,2553,5309675,7/26/02
The Country Doctor,8494,Distrib.,2,3,1443,2/2/17
Country Strong,20218921,SGem,2,1441,30452,12/22/10
Coupe de Ville,715983,Uni.,7,170,66871,3/9/90
Couples Retreat,109204945,Uni.,3000,3074,34286740,10/9/09
Courage Mountain,1393610,Triu,506,506,693087,2/16/90
Courage Under Fire,59031057,Fox,1986,2001,12501586,7/12/96
Courageous,34522221,TriS,1161,1214,9112839,9/30/11
Court,22898,Zeit.,1,2,4806,7/15/15
Cousin Bette,1295194,FoxS,13,68,76488,6/12/98
Cousin Jules,29337,CGld,1,3,5135,11/29/13
Cousins,22026369,Par.,535,747,3039805,2/10/89
The Cove,857005,RAtt.,4,56,57640,7/31/09
The Covenant,23380495,SGem,2681,2681,8852458,9/8/06
Cover,79436,ReelD,14,14,30000,2/22/08
Cowards Bend the Knee,25860,Zeit.,1,1,7030,8/11/04
The Cowboy and the Lady,0,UA,0,0,0,11/17/38
Cowboy Bebop,1000045,IDP,19,29,234429,4/4/03
Cowboy del Amor,4438,Emr.,2,2,4438,2/10/06
Cowboy Ninja Viking,0,Uni.,0,0,0,TBD
The Cowboy Way,20280016,Uni.,1753,1833,5048640,6/3/94
The Cowboys,0,WB,0,0,0,1/13/72
Cowboys & Aliens,100240551,Uni.,3750,3754,36431290,7/29/11
Cowboys and Angels,33941,TLA,5,5,6328,9/17/04
Cowgirls n' Angels,120680,Gold.,50,50,54675,5/25/12
Coyote County Loser,24375,Roe.,1,2,1074,3/20/09
Coyote Ugly,60786269,BV,2653,2664,17319282,8/4/00
CQ,414358,MGM,7,19,54942,5/24/02
Crack House,862551,Can.,67,67,210162,11/10/89
Crackers,129268,Uni.,21,21,58689,2/17/84
Cracks,29683,IFC,6,6,9467,3/18/11
Cradle 2 the Grave,34712347,WB,2625,2625,16521468,2/28/03
Cradle Will Rock,2903404,BV,8,506,93998,12/10/99
The Craft,24819936,Sony,1757,1762,6710995,5/3/96
Crank,27838408,LGF,2515,2515,10457367,9/1/06
Crank: High Voltage,13684249,LGF,2223,2223,6963565,4/17/09
The Crash,0,INDEP,0,0,0,1/13/17
Crash,54580300,Lions,1864,1905,9107071,5/6/05
Crash (1996),2038450,FL,42,339,738339,10/4/96
Crash Pad,0,VE,0,0,0,10/27/17
The Crazies,39123589,Over.,2476,2479,16067552,2/26/10
Crazy as Hell,21679,AL,7,7,13341,9/27/02
Crazy Eyes,6141,Strand,2,2,3259,7/6/12
Crazy Heart,39464306,FoxS,4,1361,82664,12/16/09
Crazy Horse,157782,Zipp.,1,14,7963,1/18/12
Crazy in Alabama,2005840,Sony,1214,1214,1010596,10/22/99
Crazy Like a Fox,9376,DFF,3,3,4667,5/5/06
Crazy Love,301027,Magn.,3,38,17952,6/1/07
Crazy Mama,0,NW,0,0,0,Jul-75
Crazy Moon,0,Mira.,0,0,0,9/11/87
Crazy on the Outside,88335,Free,75,75,64438,1/8/10
Crazy People,13236513,Par.,1389,1389,3357800,4/13/90
Crazy Rich Asians,167074942,WB,3384,3865,26510140,8/15/18
Crazy Wisdom,86202,AM,1,5,10304,11/25/11
"Crazy, Stupid, Love.",84351197,WB,3020,3020,19104303,7/29/11
crazy/beautiful,16937988,BV,1601,1603,4715060,6/29/01
Creation,341323,NM,7,12,53073,1/22/10
Creative Control,63014,Magn.,3,72,6964,3/11/16
Creator,5349607,Uni.,820,820,2019728,9/20/85
Creature (2011),508714,BD,1507,1507,327000,9/9/11
Creed,109767581,WB (NL),3404,3502,29632823,11/25/15
Creed 2,0,MGM,0,0,0,11/21/18
Creepshow,21028755,WB,1127,1132,5870889,11/12/82
Creepshow 2,14000000,NW,867,1012,3584077,5/1/87
The Cremaster Cycle,514622,Palm,1,7,10785,4/25/03
The Cremaster Cycle (re-issue),151239,ICir,1,2,7982,4/9/10
The Crew,13023075,BV,1510,1515,4051921,8/25/00
Crime + Punishment,15426,IFC,3,3,8787,8/24/18
Crime After Crime,60291,LSF,1,5,3215,7/1/11
The Crime of Monsieur Lange (2017 re-release),36438,Rialto,1,3,9633,11/17/17
Crime Spree,0,Inn.,0,0,0,9/19/03
Crimes and Misdemeanors,18254702,Orion,66,525,911385,10/13/89
Crimes of Passion,2912945,NW,325,325,1103210,10/19/84
Crimes of the Heart,22905522,DEG,246,685,1402921,12/12/86
Crimewave,5101,Col.,7,7,3571,4/25/86
Criminal,929233,WIP,77,90,283209,9/10/04
Criminal (2016),14708696,LG/S,2683,2683,5767278,4/15/16
Criminal Law,9974446,Hemd,1166,1166,2636091,4/28/89
Crimson Gold,148959,Wells,2,8,13476,1/16/04
Crimson Peak,31090320,Uni.,2984,2991,13143310,10/16/15
The Crimson Pirate,0,WB,0,0,0,9/27/52
Crimson Tide,91387195,BV,2382,2514,18612190,5/12/95
Crips and Bloods: Made in America,70219,Argo.,1,4,10537,1/23/09
Crisscross,3052738,MGM,449,449,1041264,5/8/92
Critic's Choice,0,WB,0,0,0,4/13/63
Critical Care,221193,Art.,10,34,43380,10/31/97
Critical Condition,20240502,Par.,1343,1343,5715701,1/16/87
Critters,13167232,NL,540,633,1618800,4/11/86
Critters 2: The Main Course,3813293,NL,1114,1114,1898751,4/29/88
Crocodile Dundee,174803506,Par.,879,1495,8038855,9/26/86
Crocodile Dundee II,109306210,Par.,2837,2837,24462976,5/25/88
Crocodile Dundee in Los Angeles,25635682,Par.,2123,2166,7714362,4/20/01
The Crocodile Hunter: Collision Course,28442574,MGM,2525,2535,9537123,7/12/02
Cronicas,300322,Palm,9,17,43263,7/8/05
Cronos,621392,Oct.,2,28,17538,4/1/94
The Croods,187168425,Fox,4046,4065,43639736,3/22/13
The Croods 2,0,Uni.,0,0,0,9/18/20
Crooked Arrows,1832541,BPE,55,327,257364,5/18/12
Crooked Hearts,30964,MGM,0,0,0,5/31/91
Crooked House,0,VE,0,0,0,12/22/17
Crooklyn,13642861,Uni.,1033,1035,4209475,5/13/94
Crop Circles: Quest for Truth,11562,Open,1,1,5763,8/23/02
Cropsey,52476,CP,1,4,6306,6/4/10
Cross Creek,0,Uni.,0,0,0,1983
Cross My Heart,1025762,Uni.,205,205,455100,11/13/87
The Cross: The Arthur Blessit Story,741557,8X,221,221,309455,3/27/09
Crossing Delancey,16262415,WB,1,303,46711,8/26/88
The Crossing Guard,868979,Mira.,6,6,71804,11/17/95
Crossing Over,455654,Wein.,9,42,77370,2/27/09
Crossing the Bridge,479676,BV,235,235,243695,9/11/92
Crossing the Bridge: The Sound of Istanbul,70685,Strand,1,3,9161,6/9/06
Crossing the Line,9258,Kino,1,2,2605,8/10/07
Crossing the Line (1991),59227,Mira.,2,2,5248,8/9/91
Crossover,7009668,Sony,1023,1023,3767567,9/1/06
Crossroads,37191304,Par.,2380,2713,14527187,2/15/02
Crossroads (1986),5839031,Col.,982,982,2071680,3/14/86
"Crouching Tiger, Hidden Dragon",128078872,SPC,16,2027,663205,12/8/00
"Crouching Tiger, Hidden Dragon: Sword of Destiny",0,NET,0,0,0,2/26/16
Croupier,6201143,TSG,19,141,63472,4/21/00
The Crow,50693129,Mira.,1573,2119,11774332,5/13/94
The Crow (2019),0,Sony,0,0,0,TBD
The Crow: City of Angels,17917287,Mira.,2423,2423,9785111,8/30/96
Crown Heights,238558,IFC,3,91,30173,8/18/17
The Crucible,7343114,Fox,1,344,62995,11/29/96
Crude,170295,FRun,1,7,16595,9/9/09
Cruel Intentions,38328567,Sony,2312,2312,13020565,3/5/99
Cruel World,17986,Indic.,5,5,11160,10/27/06
Cruise,0,VE,0,0,0,9/28/18
Cruising,19784223,MGM,0,0,0,2/15/80
Cruising (re-issue),14495,MGM,0,0,0,5/12/95
Crumb,3041083,SPC,1,56,19859,4/21/95
Crush,1084935,SPC,10,117,46469,4/5/02
The Crush,13609396,WB,1759,1759,5024976,4/2/93
Crush (1993),107792,Strand,1,3,12205,8/27/93
Crusoe,315421,Isld,1,25,7010,3/31/89
Crutch,14189,Illm.,1,1,6245,9/17/04
The Cry (La Llorona),21427,Mont.,4,6,6968,4/25/08
Cry Freedom,5899797,Uni.,27,479,318723,11/6/87
A Cry in the Dark,6908797,WB,334,334,1561793,11/11/88
A Cry in the Wild,1494969,Conc,0,0,0,6/1/90
Cry Wolf,10047674,Rog.,1789,1789,4428209,9/16/05
"Cry, the Beloved Country",670727,Mira.,0,0,0,12/15/95
Cry-Baby,8266343,Uni.,1229,1236,3004905,4/6/90
The Crying Game,62548947,Mira.,6,1097,101107,11/27/92
Crying Ladies,132920,Unit.,10,10,65664,2/20/04
Crystal Fairy,202370,IFC,2,20,25052,7/12/13
CSA: The Confederate States of America,672156,IFC,2,28,5706,10/7/05
CSNY: Deja Vu,65025,RAtt.,24,24,33997,7/25/08
Cthulhu,15513,Reg.,1,3,1438,8/22/08
Cuba,5610280,MGM,331,0,527540,12/21/79
Cuba Feliz,22071,Emp.,1,1,6369,6/12/02
Cuba: Island of Music,9791,Cn4,1,1,5071,1/16/04
Cuban Food Stories,5434,FRun,1,1,3032,8/10/18
Cuban Fury,92384,EOne,79,79,57105,4/11/14
A Cuban Legend,3212,Wan.,1,1,2590,10/11/02
Cube,501818,Trim.,16,24,57147,9/11/98
The Cuckoo,243936,SPC,6,14,16473,7/11/03
Cujo,21156152,WB,1239,1293,6114899,8/12/83
The Cult of the Suicide Bomber,7451,DCo.,1,1,3609,6/2/06
The Cup,1079108,FL,4,42,35179,1/28/00
The Cup (2012),0,Myr.,0,0,0,5/11/12
Cupcakes,9129,Strand,1,3,2570,3/27/15
Curandero,0,Dim.,0,0,0,0
Curdled,49620,Roll.,13,18,16294,9/27/96
The Cure,2568425,Uni.,832,832,1206415,4/21/95
A Cure for Wellness,8106986,Fox,2704,2704,4356941,2/17/17
The Cured,20261,IFC,3,29,4875,2/23/18
The Curious Case of Benjamin Button,127509326,Par.,2988,2988,26853816,12/25/08
Curious George,58360760,Uni.,2566,2609,14703405,2/10/06
Curly Sue,33691313,WB,1634,1634,4974958,10/25/91
The Current War,0,Wein.,0,0,0,2018
The Curse,1930001,TWE,326,326,1169922,9/11/87
The Curse of La Llorona,0,WB (NL),0,0,0,4/19/19
Curse of the Golden Flower,6566773,SPC,60,1234,478771,12/21/06
The Curse of the Jade Scorpion,7517191,DW,903,909,2459315,8/24/01
Curse of the Pink Panther,4491986,MGM,812,812,1641182,8/12/83
Cursed,19297522,Dim.,2805,2805,9633085,2/25/05
Curvature,0,Scre.,0,0,0,2/23/18
Custody,81998,KL,1,7,4947,6/29/18
The Cut,28066,Strand,5,5,5327,9/18/15
Cut Sleeve Boys,13875,Reg.,1,4,1982,8/10/07
Cut Snake,1625,Mont.,1,3,55,10/7/15
Cutie and the Boxer,200036,RTWC,3,16,21098,8/16/13
Cutter's Way,1729274,MGM,0,0,0,3/20/81
Cutthroat Island,10017322,MGM,1619,1619,2371415,12/22/95
The Cutting Edge,25105517,MGM,775,1121,4478919,3/27/92
Cyberworld 3-D (IMAX),11253900,Imax,21,38,278199,10/6/00
Cyborg,10166459,Can.,830,830,3179811,4/7/89
Cyclo,284692,Lions,6,6,38109,8/1/96
Cynthia,57659,Indic.,21,21,30660,8/31/18
Cyrano de Bergerac,5820020,OrionC,0,0,0,11/16/90
Cyrus,7468936,FoxS,4,454,181716,6/18/10
Czech Dream,21603,Schw.,1,2,3887,6/15/07
The D Train,673151,IFC,1009,1009,447661,5/8/15
D'Lucky Ones,64352,ABS,3,3,31820,5/5/06
D-Day,0,Yash,52,52,0,7/19/13
D.A.R.Y.L.,7840873,Par.,1100,1100,2649832,6/14/85
D.C. Cab,16134627,Uni.,862,908,1564530,12/16/83
D.E.B.S.,97446,IDP,45,45,56448,3/25/05
D.O.A.,12706478,BV,875,908,3751432,3/18/88
D2: The Mighty Ducks,45610410,BV,2182,2223,10356748,3/25/94
D3: The Mighty Ducks,22955097,BV,2056,2060,6170358,10/4/96
Da,644532,FDal,1,1,11085,4/29/88
The Da Vinci Code,217536138,Sony,3735,3757,77073388,5/19/06
Dabangg,1288549,Eros,62,68,628137,9/10/10
Dabangg 2,2519190,Eros,166,166,1019213,12/21/12
Dad,22103037,Uni.,107,1188,540148,10/27/89
Dad's Army,0,0,0,0,0,TBD
Daddy Cool,14319,AdL.,18,18,14319,8/28/09
Daddy Day Camp,13235267,SonR,2332,2332,3402678,8/8/07
Daddy Day Care,104297061,SonR,3370,3472,27623580,5/9/03
Daddy Longlegs,21766,IFC,1,2,8323,5/14/10
Daddy Nostalgia,1108429,Ave,1,29,14252,4/12/91
Daddy's Dyin'... Who's Got the Will?,1373728,MGM,150,150,313844,5/4/90
Daddy's Home,150357137,Par.,3271,3483,38740203,12/25/15
Daddy's Home 2,104029443,Par.,3575,3575,29651193,11/10/17
Dadetown,37092,Castle,1,1,5450,9/18/96
Dahek,41284,Eros,18,18,41284,12/17/99
Dahmer,144008,Penin.,2,5,16093,6/21/02
Daisies (2012 re-release),13692,Jan.,1,1,6576,7/6/12
Daisy Winters,0,Hann.,89,89,0,12/1/17
Dakota,0,Rep.,0,0,0,12/25/45
Dalida,3465,UTMW,0,1,0,8/26/17
Dallas,0,Fox,0,0,0,TBD
Dallas (1950),0,WB,0,0,0,12/30/50
Dallas 362,21108,Think,1,2,2831,4/1/05
Dallas Buyers Club,27298285,Focus,9,1110,260865,11/1/13
Daltry Calhoun,12551,Mira.,13,13,7758,9/23/05
Damage,7532911,NL,4,255,101707,12/25/92
Damascus Cover,0,VE,0,0,0,7/20/18
Dames,0,WB,0,0,0,9/1/34
Damien: The Omen Part II,26518355,Fox,525,525,3880880,6/9/78
The Damned United,449865,SPC,6,45,32065,10/9/09
Damsel,305136,Magn.,3,42,20291,6/22/18
Damsels in Distress,1008455,SPC,4,205,58589,4/6/12
Dan in Real Life,47642963,BV,1921,1941,11809445,10/26/07
Dance Academy: The Comeback,0,Cdgm.,0,0,0,3/2/18
Dance Flick,25662155,Par.,2450,2459,10643536,5/22/09
Dance Me Outside,66229,Shad.,3,6,4983,6/2/95
The Dance of Reality,293680,Abk.,2,15,24768,5/23/14
Dance with a Stranger,2174622,Gold.,0,0,0,8/9/85
Dance with Me,15923122,Sony,1467,1467,4507663,8/21/98
"Dance, Girl, Dance",0,RKO,0,0,0,8/30/40
Dancemaker,256780,AL,3,6,10594,3/3/99
Dancer,71917,IFC,1,10,7140,9/9/16
Dancer in the Dark,4184036,FL,3,126,91612,9/22/00
The Dancer Upstairs,2377348,FoxS,13,152,106142,5/2/03
"Dancer, Texas Pop. 81",676631,Sony,26,28,87983,5/1/98
Dancers,1190416,Can.,12,12,36112,10/9/87
Dances with Wolves,184208848,Orion,14,1636,598257,11/9/90
Dancin' It's On,0,MDL,0,0,0,10/16/15
Dancing Across Borders,66166,FRun,1,5,5204,3/26/10
Dancing at Lughnasa,2287818,SPC,4,93,83759,11/13/98
Dancing at the Blue Iguana,67913,Key.,7,7,30181,10/19/01
Dancing in Jaffa,151098,IFC,2,23,10564,4/11/14
Dandelion,0,ICir,0,0,0,10/7/05
Dangal,12391761,UTV,331,338,3248481,12/21/16
Dangerous Beauty,4553271,WB,10,313,105989,2/20/98
Dangerous Game,23671,MGM,1,1,16995,11/19/93
Dangerous Ground,5303931,NL,808,808,2647745,2/14/97
Dangerous Ishhq,0,Relbig.,25,25,0,5/11/12
Dangerous Liaisons,34670720,WB,3,762,84451,12/23/88
Dangerous Liaisons (2012),54000,WGUSA,6,6,18027,11/9/12
The Dangerous Lives of Altar Boys,1815864,Think,9,125,55000,6/14/02
A Dangerous Method,5704709,SPC,4,365,167953,11/23/11
Dangerous Minds,84919401,BV,1348,1783,14931503,8/11/95
Dangerous When Wet,0,MGM,0,0,0,6/18/53
A Dangerous Woman,1497222,Gram.,293,293,680441,11/30/93
Dangerously Close,2390525,Can.,827,827,1180506,5/9/86
Daniel,687475,Par.,0,0,0,8/26/83
Daniel & Ana,2372,Strand,1,1,1400,8/27/10
The Danish Girl,11114018,Focus,4,794,187318,11/27/15
Danny Collins,5637066,BST,5,739,72459,3/20/15
Danny Deckchair,160276,Lions,4,29,10304,8/11/04
Danny Says,44213,Magn.,16,16,11244,9/30/16
Dans l'oeil du chat,155714,All.,27,27,79133,2/13/04
Dans Paris,63667,IFC,2,5,12231,8/8/07
Dans une galaxie pres de chez vous,2259688,TVA,0,74,0,4/9/04
Dante's Peak,67127760,Uni.,2657,2761,18479435,2/7/97
Danzon,450501,SPC,1,1,9096,9/25/92
Daratt,3303,Artma,1,1,2352,4/6/07
Darby O'Gill and the Little People,0,Dis.,0,0,0,6/26/59
Dare,18088,Imag.,2,2,13200,11/13/09
Dare Not Walk Alone,52166,Indic.,3,3,9259,4/25/08
Daredevil,102543518,Fox,3471,3474,40310419,2/14/03
Darfur Now,109107,WIP,3,24,23217,11/2/07
The Darjeeling Limited,11902715,FoxS,2,698,134938,9/29/07
Dark Awakening,0,Hann.,0,0,0,6/19/15
The Dark Backward,28654,Grey,1,1,7917,7/26/91
The Dark Below,7095,PDF,1,3,1526,3/10/17
Dark Blue,9250301,UA,2176,2176,3880688,2/21/03
Dark Blue World,258771,SPC,5,7,19541,12/28/01
