title,cgross,studio,theaters2,theaters1,opening_gross,release_data
The Adventurer: The Curse of the Midas Box,6399,TFA,82,82,4756,1/10/14
The Adventurers,216556,WGUSA,17,17,68614,8/18/17
Adventures in Babysitting,34368475,BV,1126,1148,2901297,7/3/87
Adventures of a Young Man,0,Fox,0,0,0,7/25/62
Adventures of American Rabbit,1268443,Atl,242,242,291126,1/17/86
The Adventures of Baron Munchausen,8083123,Col.,46,120,597400,3/10/89
The Adventures of Buckaroo Banzai,6254148,Fox,236,236,620279,8/10/84
Adventures of Don Juan,0,WB,0,0,0,12/1/48
The Adventures of Elmo in Grouchland,11683047,Sony,1210,1210,3255033,10/1/99
The Adventures of Felix,363409,Wells,1,8,13275,6/15/01
The Adventures of Ford Fairlane,21413502,Fox,1245,1263,6374391,7/13/90
The Adventures of Huck Finn,24103594,BV,1786,1803,5033029,4/2/93
The Adventures of Marco Polo,0,MGM,0,0,0,4/15/38
The Adventures of Mark Twain,849915,Atl,221,221,226525,1/17/86
The Adventures of Milo and Otis,2948215,Col.,239,239,470084,8/25/89
Adventures of Milo and Otis (Re-issue),10351534,Col.,914,915,1708915,6/15/90
The Adventures of Pinocchio,15094530,NL,1779,1879,3832551,7/26/96
The Adventures of Pluto Nash,4420080,WB,2320,2320,2182900,8/16/02
Adventures of Power,17419,Vari.,2,3,4254,10/9/09
"The Adventures of Priscilla, Queen of the Desert",11220670,Gram.,7,192,219433,8/10/94
The Adventures of Rocky & Bullwinkle,26005820,Uni.,2460,2482,6814270,6/30/00
The Adventures of Sebastian Cole,100841,ParC,7,7,12598,8/6/99
The Adventures of Sharkboy and Lavagirl in 3D,39177684,Dim.,2655,2655,12582088,6/10/05
The Adventures of Tintin,77591831,Par.,3087,3087,9720993,12/21/11
Advise & Consent,0,Col.,0,0,0,6/6/62
The Advocate,602329,Mira.,3,17,30892,8/24/94
The Advocate: A Missing Body,50162,CJ,9,9,19770,10/23/15
The Advocates,0,CLS,0,0,0,10/19/18
Ae Dil Hai Mushkil,4264983,FIP,302,302,2190042,10/28/16
Aeon Flux,25874337,Par.,2608,2608,12661112,12/2/05
Aferim!,108110,BWP,5,8,15892,1/22/16
An Affair of Love,359050,FL,4,19,30281,8/11/00
The Affair of the Necklace,471210,WB,18,40,125523,11/30/01
The Afflicted,212940,Noct.,13,13,90272,10/21/11
Afflicted (2014),121179,CBS,44,44,69447,4/4/14
Affliction,6330054,Lions,3,335,63979,12/30/98
Afghan Star,102115,Zeit.,1,5,3671,6/26/09
Afraid of the Dark,53932,FL,0,0,0,7/24/92
Africa's Elephant Kingdom (IMAX),13485455,Imax,14,15,114105,5/1/98
Africa: The Serengeti (IMAX),0,0,0,0,0,4/1/94
African Cats,15428747,BV,1220,1224,6003200,4/22/11
The African Queen,0,UA,0,0,0,12/23/51
After,24544,0,1,1,6333,9/9/11
After (2019),0,Aviron,0,0,0,4/12/19
After Auschwitz,73885,Passion Rive,0,13,0,4/14/18
After Dark's Horror Fest: 8 Films to Die For,2575000,Free,488,488,2310680,11/17/06
After Dark's Horrorfest 2,874635,ADF,323,323,502148,11/9/07
"After Dark, My Sweet",2678414,Ave,30,153,244919,8/24/90
After Earth,60522097,Sony,3401,3401,27520040,5/31/13
After Freedom,35639,Vita.,2,2,11456,5/14/04
After Hours,10609321,WB,1,503,45435,9/13/85
After Innocence,114264,NYer,1,4,10194,10/21/05
After Life,801985,AL,1,11,11791,5/14/99
After Love,13693,Distrib.,1,5,810,8/9/17
After Midnight,50469,Avat.,2,3,7634,12/3/04
After Midnight,76325,MGM,224,224,59260,11/3/89
After School,3967,MovE,0,0,0,9/23/88
After The Ball,161820,Free,41,43,31718,2/27/15
After the Cup: Sons of Sakhnin United,11538,Vari.,1,3,2501,5/21/10
After the Life: Trilogy 3,27256,Magn.,1,3,5198,2/13/04
After the Storm,272132,FM,6,38,27880,3/17/17
After the Sunset,28331233,NL,2819,2819,11100392,11/12/04
After the Thin Man,0,MGM,0,0,0,12/25/36
After the Wedding,1534584,IFC,5,55,47311,3/30/07
After the Wizard,3184,BGP,2,2,2527,8/10/12
After Tiller,72125,Osci.,2,6,15500,9/20/13
After Words,0,L33,10,10,0,8/21/15
After.Life,108595,Anch.,41,41,59946,4/9/10
Afterglow,2465960,SPC,7,353,50052,12/26/97
Afterimage,33443,FM,1,6,5832,5/19/17
The Afterlight,3059,CP,1,1,1466,9/10/10
The Aftermath,0,FoxS,0,0,0,4/26/19
Aftermath (2014),3451,Free,1,1,1124,11/28/14
Afternoon Delight,174496,TFA,2,39,27352,8/30/13
